DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
6,7,F9,20436,F9,N332FR,943,14635,1463502,RSW,14107,1410702,PHX,1020.0,0.0,1000-1059,1310.0,0.0,0.0,0.0,1868.0,
23,3,NK,20416,NK,N685NK,972,14107,1410702,PHX,11298,1129806,DFW,153.0,0.0,0001-0559,505.0,0.0,0.0,0.0,868.0,
10,4,WN,19393,WN,N8542Z,270,11292,1129202,DEN,13796,1379608,OAK,1115.0,0.0,1100-1159,1242.0,0.0,0.0,0.0,957.0,
11,5,YX,20452,YX,N404YX,4351,10994,1099402,CHS,13303,1330303,MIA,550.0,0.0,0001-0559,713.0,0.0,0.0,0.0,489.0,
11,5,OO,20304,OO,N182SY,3334,14679,1467903,SAN,11259,1125904,DAL,1700.0,0.0,1700-1759,2150.0,0.0,0.0,0.0,1182.0,
18,5,AA,19805,AA,N523UW,1709,11057,1105703,CLT,11697,1169706,FLL,1423.0,0.0,1400-1459,1611.0,0.0,0.0,0.0,632.0,
11,5,UA,19977,UA,N78524,361,14771,1477104,SFO,14679,1467903,SAN,1931.0,0.0,1900-1959,2115.0,0.0,0.0,0.0,447.0,
27,7,9E,20363,9E,N800AY,5357,12478,1247805,JFK,12264,1226402,IAD,758.0,0.0,0700-0759,915.0,0.0,0.0,0.0,228.0,
6,7,AS,19930,AS,N529VA,1953,14679,1467903,SAN,14771,1477104,SFO,842.0,0.0,0800-0859,1028.0,0.0,0.0,0.0,447.0,
28,1,AS,19930,AS,N266AK,33,10721,1072102,BOS,14057,1405702,PDX,1554.0,0.0,1600-1659,1912.0,0.0,0.0,0.0,2537.0,
